DATE,COMNAM,NCUSIP,TICKER,PERMNO,EXCHCD
19251231,AMERICAN CAR & FDRY CO,,,10006,1
19251231,AMERICAN SAFETY RAZOR CORP,,,10022,1
19251231,AMERICAN BRAKE SHOE & FDRY,,,10030,1
19251231,ABITIBI POWER & PAPER LTD,,,10049,1
19251231,NATIONAL ACME CO,,,10057,1
19251231,ADAMS EXPRESS CO,,,10065,1
19251231,ADVANCE RUMELY CO,,,10073,1
19251231,AHUMADA LEAD CO,,,10081,1
19251231,AIR REDUCTION INC,,,10102,1
19251231,AJAX RUBR INC,,,10110,1
19251231,ALL AMER CABLES INC,,,10129,1
19251231,AMERICAN WATER WORKS & ELEC INC,,,10137,1
19251231,ALLIED CHEMICAL & DYE CORP,,,10145,1
19251231,ALLIS CHALMERS CORP,,,10153,1
19251231,AMERICAN METAL LTD,,,10161,1
19251231,AMERICAN BOSCH MAGNETO CORP,,,10188,1
19251231,AMERICAN & FGN PWR INC,,,10196,1
19251231,AMERICAN AGRIC CHEM CO,,,10209,1
19251231,AMERICAN BANK NOTE CO,,,10217,1
19251231,AMERICAN TOB CO,,,10225,1
19251231,FAMOUS PLAYERS LASKY CORP,,,10233,1
19251231,AMERICAN CAN CO,,,10241,1
19251231,AMERICAN ICE CO,,,10268,1
19251231,AMERICAN BEET SUGAR CO,,,10276,1
19251231,AMERICAN EXPRESS CO,,,10284,1
19251231,AMERICAN CHICLE CO,,,10292,1
19251231,AMERICAN DRUGGISTS SYND,,,10305,1
19251231,AMERICAN INTERNATIONAL CORP,,,10313,1
19251231,NASH MOTORS CO,,,10321,1
19251231,AMERICAN LA FRANCE FIRE ENGINE,,,10348,1
19251231,AMERICAN LINSEED CO,,,10356,1
19251231,AMERICAN SMLT & REFNG CO,,,10364,1
19251231,AMERICAN RADIATOR CO,,,10372,1
19251231,AMERICAN REPS CORP,,,10380,1
19251231,AMERICAN SHIP & COMM CORP,,,10399,1
19251231,AMERICAN TELEPHONE & TELEG CO,,,10401,1
19251231,AMERICAN TOB CO,,,10428,1
19251231,AMERICAN ZINC LEAD & SMLT CO,,,10436,1
19251231,AMERICAN SUMATRA TOB CO,,,10444,1
19251231,AMERICAN WOOLEN CO,,,10452,1
19251231,MANHATTAN ELECTRICAL SUPPLY INC,,,10460,1
19251231,AMERICAN SUGAR REFNG CO,,,10479,1
19251231,AMERICAN STEEL FOUNDRIES,,,10487,1
19251231,ANACONDA COPPER MNG CO,,,10495,1
19251231,ANN ARBOR RR CO,,,10508,1
19251231,ARCHER DANIELS MIDLAND CO,,,10516,1
19251231,ARMOUR & CO,,,10524,1
19251231,ARNOLD CONSTABLE CORP,,,10532,1
19251231,ART METAL CONSTR CO,,,10540,1
19251231,ASSOCIATED DRY GOODS CORP,,,10559,1
19251231,ASSOCIATED OIL CO,,,10567,1
19251231,ATCHISON TOPEKA & SANTA FE RY CO,,,10575,1
19251231,ATLANTA BIRMINGHAM & ATLANTIC RY,,,10583,1
19251231,ATLANTIC COAST LINE RR CO,,,10591,1
19251231,ATLANTIC REFNG CO,,,10604,1
19251231,ATLANTIC GULF & WEST INDIES SS,,,10612,1
19251231,ATLAS POWDER CO,,,10620,1
19251231,ATLAS TACK CORP,,,10639,1
19251231,AUSTIN NICHOLS & CO INC,,,10647,1
19251231,AUTO KNITTER HOSIERY INC,,,10655,1
19251231,AUTOSALES CORP,,,10663,1
19251231,BALDWIN LOCOMOTIVE WKS,,,10671,1
19251231,GENERAL ASPHALT CO,,,10698,1
19251231,BARNET LEATHER INC,,,10700,1
19251231,BARNSDALL CORP,,,10719,1
19251231,BAYUK CIGARS INC,,,10727,1
19251231,BEECH NUT PACKING CO,,,10735,1
19251231,BELDING BROS & CO,,,10743,1
19251231,STROMBERG CARBURETOR CO AMER INC,,,10751,1
19251231,GOLD DUST CORP,,,10778,1
19251231,BETHLEHEM STEEL CORP,,,10786,1
19251231,BOOTH FISHERIES CO,,,10794,1
19251231,BRIGGS MFG CO,,,10807,1
19251231,BRITISH EMPIRE STL LTD,,,10815,1
19251231,BROOKLYN UNION GAS CO,,,10823,1
19251231,BROOKLYN EDISON INC,,,10831,1
19251231,BROOKLYN MANHATTAN TRAN CORP,,,10858,1
19251231,BROWN SHOE INC,,,10866,1
19251231,BRUNSWICK BALKE COLLENDER CO,,,10874,1
19251231,BRUNSWICK TERM & RY SEC CO,,,10882,1
19251231,BURROUGHS ADDING MACH CO,,,10890,1
19251231,BURNS BROS,,,10903,1
19251231,BUSH TERMINAL CO,,,10911,1
19251231,BYERS A M CO,,,10938,1
19251231,BUTTE & SUPERIOR MNG CO,,,10946,1
19251231,BUTTE COPPER & ZINC CO,,,10954,1
19251231,BUTTERICK CO,,,10962,1
19251231,COMMERCIAL INVESTMENT TRUST CO,,,10970,1
19251231,CORN PRODUCTS REFINING CO,,,10989,1
19251231,CADDO CENT OIL REFNG CORP,,,10997,1
19251231,CALIFORNIA PETE CORP,,,11009,1
19251231,CALLAHAN ZINC LEAD CO,,,11017,1
19251231,CALUMET & ARIZONA MNG CO,,,11025,1
19251231,CALUMET & HECLA CONS COPPER CO,,,11033,1
19251231,CANADIAN PACIFIC RAILWAY CO,,,11041,1
19251231,CASE J I THRESHING MACH CO,,,11068,1
19251231,CENTRAL RR CO N J,,,11076,1
19251231,CENTURY RIBBON MLS INC,,,11084,1
19251231,CERRO DE PASCO COPPER CORP,,,11092,1
19251231,CERTAIN TEED PRODS CORP,,,11105,1
19251231,GOTHAM SILK HOSIERY INC,,,11113,1
19251231,DOUGLAS PECTIN CORP,,,11121,1
19251231,DELAWARE & HUDSON CO,,,11148,1
19251231,CHESAPEAKE & OHIO RAILWAY CO,,,11156,1
19251231,CHICAGO PNEUMATIC TOOL CO,,,11164,1
19251231,CHICAGO & ALTON RR CO,,,11172,1
19251231,CHICAGO & EASTN ILL RY CO,,,11180,1
19251231,CHICAGO & NORTH WESTN RY CO,,,11199,1
19251231,CHICAGO GREAT WESTN RR CO,,,11201,1
19251231,CHICAGO MILWAUKEE & ST PAUL RY,,,11228,1
19251231,CHICAGO ST PAUL MPLS & OMAHA RY,,,11236,1
19251231,CHICAGO YELLOW CAB INC,,,11244,1
19251231,CHICAGO ROCK IS & PAC RY CO,,,11252,1
19251231,CHRYSLER CORP,,,11260,1
19251231,CHRISTIE BROWN & CO LTD,,,11279,1
19251231,AMERICAN LOCOMOTIVE CO,,,11287,1
19251231,CLUETT PEABODY & CO INC,,,11295,1
19251231,COCA COLA CO,,,11308,1
19251231,COLORADO & SOUTHN RY CO,,,11316,1
19251231,COLORADO FUEL & IRON CO,,,11324,1
19251231,PENNSYLVANIA COAL & COKE CORP,,,11332,1
19251231,COLUMBIA GAS & ELEC CO,,,11340,1
19251231,COLUMBIAN CARBON CO,,,11359,1
19251231,COMMERCIAL CR CO,,,11367,1
19251231,CONGOLEUM NAIRN INC,,,11375,1
19251231,CONLEY TIN FOIL CORP,,,11383,1
