,index,cik,conm,type,date,path
12326,12326,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2011-02-14,edgar/data/1029160/0001011438-11-000109.txt
14827,14827,1035674,PAULSON & CO INC,13F-HR,2011-02-14,edgar/data/1035674/0001035674-11-000001.txt
15494,15494,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2011-02-11,edgar/data/1037389/0001037389-11-000099.txt
28858,28858,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2011-02-14,edgar/data/1067983/0000950123-11-013623.txt
59715,59715,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2011-02-14,edgar/data/1167483/0000919574-11-001216.txt
128069,128069,1350694,"Bridgewater Associates, LP",13F-HR,2011-02-11,edgar/data/1350694/0001140361-11-008344.txt
317384,317384,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2011-05-16,edgar/data/1029160/0001011438-11-000207.txt
319381,319381,1035674,PAULSON & CO INC,13F-HR,2011-05-16,edgar/data/1035674/0001035674-11-000002.txt
319829,319829,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2011-05-13,edgar/data/1037389/0001037389-11-000103.txt
331267,331267,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2011-05-16,edgar/data/1067983/0000950123-11-050728.txt
358075,358075,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2011-05-16,edgar/data/1167483/0000919574-11-003375.txt
414648,414648,1350694,"Bridgewater Associates, LP",13F-HR,2011-05-12,edgar/data/1350694/0001140361-11-026871.txt
577470,577470,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2011-08-15,edgar/data/1029160/0001011438-11-000261.txt
578969,578969,1035674,PAULSON & CO INC,13F-HR,2011-08-15,edgar/data/1035674/0001035674-11-000003.txt
579233,579233,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2011-08-12,edgar/data/1037389/0001037389-11-000104.txt
587349,587349,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2011-08-15,edgar/data/1067983/0001193125-11-223118.txt
608633,608633,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2011-08-15,edgar/data/1167483/0000919574-11-004823.txt
650506,650506,1350694,"Bridgewater Associates, LP",13F-HR,2011-08-11,edgar/data/1350694/0001140361-11-041045.txt
784665,784665,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2011-11-14,edgar/data/1029160/0001011438-11-000328.txt
786334,786334,1035674,PAULSON & CO INC,13F-HR,2011-11-14,edgar/data/1035674/0001035674-11-000004.txt
786672,786672,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2011-11-14,edgar/data/1037389/0001037389-11-000105.txt
